11314340	DB08568
24889392	DB12874
11409972	
11338033	DB08142
10184653	DB08916
5287969	DB03496
6450551	DB06626
11364421	
9926054	
16007391	
5328940	DB06616
11234052	DB11958
11656518	DB05984
6918454	DB12429
156414	DB05424
9933475	DB04849
11626560	DB08865
3062316	DB01254
156422	DB03044
44150621	
176167	DB06486
176870	DB00530
42642645	DB12307
11717001	
16725726	DB12745
11617559	
123631	DB00317
5291	DB00619
4908365	
11427553	
208908	DB01259
126565	DB06469
11485656	
9929127	
11712649	DB13061
10074640	DB11526
51004351	
11667893	DB05575
9915743	DB11828
644241	DB04868
447077	DB02567
10461815	
9884685	
24180719	DB06999
25243800	
10113978	DB06589
17755052	DB11663
11984591	
153999	DB11829
25127112	
176155	
24779724	DB08584
24779724	DB06314
3025986	DB05969
10138260	
10127622	DB11689
216239	DB00398
44259	DB02010
5329102	DB01268
16038120	
10427712	DB05552
16722836	DB12500
3038522	DB05465
9926791	DB08895
5494449	
3038525	DB07138
3081361	DB05294
9809715	
151194	DB04879
